x,y,z,r
0.22499999999999998,2.7749999999999995,17.0462,0.025
0.27499999999999997,2.7749999999999995,17.0462,0.025
0.325,2.7749999999999995,17.0462,0.025
0.375,2.7749999999999995,17.0462,0.025
0.425,2.7749999999999995,17.0462,0.025
0.475,2.7749999999999995,17.0462,0.025
0.025,2.8249999999999997,17.0462,0.025
0.075,2.8249999999999997,17.0462,0.025
0.125,2.8249999999999997,17.0462,0.025
0.175,2.8249999999999997,17.0462,0.025
0.22499999999999998,2.8249999999999997,17.0462,0.025
0.27499999999999997,2.8249999999999997,17.0462,0.025
0.325,2.8249999999999997,17.0462,0.025
0.375,2.8249999999999997,17.0462,0.025
0.425,2.8249999999999997,17.0462,0.025
0.475,2.8249999999999997,17.0462,0.025
0.025,2.8749999999999996,17.0462,0.025
0.075,2.8749999999999996,17.0462,0.025
0.125,2.8749999999999996,17.0462,0.025
